id,member_id,loan_amnt,term,int_rate,installment,emp_length,home_ownership,annual_inc,verification_status,addr_state,dti,delinq_2yrs,inq_last_6mths,pub_rec,revol_bal,revol_util,total_acc,bad_loan
1077501,1296599,5000, 36 months,10.65,162.87,10,RENT,24000,VERIFIED - income,AZ,27.65,0,1,0,13648,83.7,9,0
1077430,1314167,2500, 60 months,15.27,59.83,0,RENT,30000,verified,GA,1,0,5,0,1687,9.4,4,1
1077175,1313524,2400, 36 months,15.96,84.33,10,RENT,12252,not verified,IL,8.72,0,2,0,2956,98.5,10,0
1076863,1277178,10000, 36 months,13.49,339.31,10,RENT,49200,verified,CA,20,0,1,0,5598,21,37,0
1075269,1311441,5000, 36 months,7.9,156.46,3,RENT,36000,verified,AZ,11.2,0,3,0,7963,28.3,12,0
1072053,1288686,3000, 36 months,18.64,109.43,9,RENT,48000,verified,CA,5.35,0,2,0,8221,87.5,4,0
1071795,1306957,5600, 60 months,21.28,152.39,4,OWN,40000,verified,CA,5.55,0,2,0,5210,32.6,13,1
1071570,1306721,5375, 60 months,12.69,121.45,0,RENT,15000,VERIFIED - income,TX,18.08,0,0,0,9279,36.5,3,1
1070078,1305201,6500, 60 months,14.65,153.45,5,OWN,72000,not verified,AZ,16.12,0,2,0,4032,20.6,23,0
1069908,1305008,12000, 36 months,12.69,402.54,10,OWN,75000,verified,CA,10.78,0,0,0,23336,67.1,34,0
1064687,1298717,9000, 36 months,13.49,305.38,0,RENT,30000,verified,VA,10.08,0,1,0,10452,91.7,9,1
1069866,1304956,3000, 36 months,9.91,96.68,3,RENT,15000,verified,IL,12.56,0,2,0,7323,43.1,11,0
1069057,1303503,10000, 36 months,10.65,325.74,3,RENT,100000,verified,CA,7.06,0,2,0,11997,55.5,29,1
1069759,1304871,1000, 36 months,16.29,35.31,0,RENT,28000,not verified,MO,20.31,0,1,0,6524,81.5,23,0
1065775,1299699,10000, 36 months,15.27,347.98,4,RENT,42000,not verified,CA,18.6,0,2,0,24043,70.2,28,0
1069971,1304884,3600, 36 months,6.03,109.57,10,MORTGAGE,110000,not verified,CT,10.52,0,0,0,22836,16,42,0
1062474,1294539,6000, 36 months,11.71,198.46,1,MORTGAGE,84000,VERIFIED - income,UT,18.44,2,0,0,0,37.73,14,0
1069742,1304855,9200, 36 months,6.03,280.01,6,RENT,77385.19,not verified,CA,9.86,0,0,0,7314,23.1,28,0
1039153,1269083,21000, 36 months,12.42,701.73,10,RENT,105000,VERIFIED - income,FL,13.22,0,0,0,32135,90.3,38,1
1069710,1304821,10000, 36 months,11.71,330.76,10,OWN,50000,verified,TX,11.18,0,0,0,10056,82.4,21,0
1069700,1304810,10000, 36 months,11.71,330.76,5,RENT,50000,not verified,CA,16.01,0,0,0,17800,91.8,17,0
